method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_class_weight,param_gamma,message,best_so_far,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample
bayes,M4,binary,r0f0,0,0,balanced_accuracy,19,0.830439,0.019614,3,15.4967,ok,0.829927,0.830378,0.667671,0.831144,0.829612,0.842472,0.802778,0.846066,0.847319,0.842472,0.690307,0.834286,0.850659,0.781609,0.802778,0.613821,0.838889,0.766667,0.861272,0.846066,0.708738,0.820225,0.871907,,,,,0.846413,5.0,sqrt,1.0,999.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,20,0.841866,0.018957,3,6.649,ok,0.866949,0.841858,0.711779,0.79925,0.884466,0.858486,0.815338,0.851774,0.903263,0.858486,0.767507,0.782857,0.934114,0.808046,0.815338,0.64086,0.827778,0.802899,0.890173,0.851774,0.746667,0.786517,0.917031,,,,,0.846413,10.0,0.5,10.0,101.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,21,0.842819,0.024714,3,28.1441,ok,0.858465,0.842776,0.703314,0.816135,0.869417,0.865522,0.808454,0.85448,0.900932,0.865522,0.768392,0.805714,0.925329,0.787356,0.808454,0.621677,0.844444,0.772464,0.887861,0.85448,0.745407,0.797753,0.911208,,,,,0.846413,5.0,0.3,1.0,796.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,22,0.828509,0.016916,3,2.4553,ok,0.845739,0.828508,0.680511,0.79925,0.857767,0.840184,0.804589,0.840754,0.874126,0.840184,0.717277,0.782857,0.897511,0.794253,0.804589,0.623158,0.822222,0.786957,0.869364,0.840754,0.713924,0.792135,0.889374,,balanced_subsample,,,0.846413,20.0,log2,10.0,136.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,23,0.838953,0.012735,3,4.9781,ok,0.87582,0.839096,0.72,0.776735,0.901456,0.834307,0.826208,0.856345,0.898601,0.834307,0.744868,0.725714,0.942899,0.825287,0.826208,0.662222,0.827778,0.824638,0.904046,0.856345,0.768802,0.775281,0.937409,,balanced,,,0.846413,,0.3,7.0,103.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,24,0.842724,0.009775,3,9.4244,ok,0.886232,0.842868,0.735426,0.769231,0.916505,0.837306,0.83442,0.856447,0.90676,0.837306,0.759036,0.72,0.954612,0.844828,0.83442,0.685315,0.816667,0.852174,0.907514,0.856447,0.774011,0.769663,0.943231,,balanced,,,0.846413,,0.5,3.0,110.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,25,0.840367,0.012066,3,8.2483,ok,0.873506,0.840421,0.718213,0.78424,0.896602,0.848521,0.823309,0.849271,0.900932,0.848521,0.757835,0.76,0.937042,0.82069,0.823309,0.656388,0.827778,0.818841,0.899422,0.849271,0.75766,0.764045,0.934498,,balanced_subsample,,,0.846413,,0.5,6.0,109.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,26,0.828356,0.016983,3,2.3053,ok,0.851138,0.828429,0.685668,0.789869,0.86699,0.831826,0.806039,0.847202,0.881119,0.831826,0.71978,0.748571,0.915081,0.796552,0.806039,0.625793,0.822222,0.789855,0.876301,0.847202,0.726343,0.797753,0.896652,,balanced,,,0.846413,,log2,8.0,112.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,27,0.836949,0.009671,3,84.4242,ok,0.885847,0.837062,0.730909,0.754221,0.919903,0.835181,0.826087,0.849578,0.90676,0.835181,0.757576,0.714286,0.956076,0.841379,0.826087,0.676056,0.8,0.852174,0.909827,0.849578,0.773256,0.747191,0.951965,,,,,0.846413,30.0,0.5,2.0,995.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,28,0.8439,0.012173,3,12.3322,ok,0.895874,0.844068,0.749071,0.756098,0.932039,0.830931,0.84058,0.860188,0.90676,0.830931,0.754601,0.702857,0.959004,0.864368,0.84058,0.70936,0.8,0.881159,0.916763,0.860188,0.790698,0.764045,0.956332,,balanced_subsample,,,0.846413,30.0,0.3,1.0,210.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,29,0.840209,0.011193,3,2.4366,ok,0.884304,0.840263,0.731183,0.765478,0.915049,0.848735,0.824396,0.847497,0.911422,0.848735,0.77381,0.742857,0.954612,0.832184,0.824396,0.666667,0.811111,0.837681,0.909827,0.847497,0.77193,0.741573,0.953421,,balanced_subsample,,,0.846413,30.0,sqrt,3.0,102.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,30,0.836558,0.01349,3,51.5576,ok,0.892017,0.836773,0.738806,0.742964,0.930583,0.819502,0.837681,0.852489,0.902098,0.819502,0.73913,0.68,0.959004,0.85977,0.837681,0.702439,0.8,0.875362,0.914451,0.852489,0.782353,0.747191,0.957787,,balanced_subsample,,,0.846413,30.0,0.3,1.0,919.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,31,0.840605,0.014729,3,5.0049,ok,0.867335,0.84071,0.711409,0.795497,0.885922,0.845003,0.820773,0.856038,0.902098,0.845003,0.757225,0.748571,0.941435,0.806897,0.820773,0.644068,0.844444,0.797101,0.893642,0.856038,0.754011,0.792135,0.919942,,,,,0.846413,30.0,0.3,10.0,105.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,32,0.846834,0.015812,3,24.1531,ok,0.871577,0.846857,0.720403,0.804878,0.888835,0.859218,0.824517,0.856766,0.904429,0.859218,0.769663,0.782857,0.935578,0.816092,0.824517,0.65368,0.838889,0.810145,0.894798,0.856766,0.756032,0.792135,0.921397,,balanced,,,0.846834,30.0,0.5,10.0,383.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,33,0.841061,0.022568,3,28.7298,ok,0.854609,0.841044,0.698159,0.818011,0.864078,0.858272,0.809179,0.855732,0.892774,0.858272,0.752688,0.8,0.916545,0.788506,0.809179,0.622951,0.844444,0.773913,0.883237,0.855732,0.74036,0.808989,0.902475,,balanced,,,0.846834,5.0,0.5,10.0,555.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,34,0.836794,0.010973,3,11.1582,ok,0.887775,0.836885,0.733272,0.750469,0.923301,0.836645,0.82343,0.850306,0.909091,0.836645,0.762195,0.714286,0.959004,0.843678,0.82343,0.67619,0.788889,0.857971,0.910983,0.850306,0.77551,0.747191,0.953421,,balanced,,,0.846834,30.0,0.5,2.0,124.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,35,0.844182,0.016092,3,59.097,ok,0.868492,0.844219,0.715121,0.803002,0.885437,0.857093,0.821498,0.853957,0.904429,0.857093,0.768362,0.777143,0.937042,0.808046,0.821498,0.645435,0.844444,0.798551,0.893642,0.853957,0.752688,0.786517,0.921397,,balanced,,,0.846834,30.0,0.5,10.0,942.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,36,0.835324,0.017207,3,16.9313,ok,0.857694,0.835337,0.697293,0.797373,0.873301,0.847576,0.81099,0.847407,0.889277,0.847576,0.741144,0.777143,0.918009,0.801149,0.81099,0.632696,0.827778,0.794203,0.883237,0.847407,0.734908,0.786517,0.908297,,,,,0.846834,30.0,sqrt,10.0,977.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,37,0.829775,0.012616,3,15.6411,ok,0.880062,0.829945,0.718552,0.744841,0.915049,0.821556,0.820169,0.847599,0.898601,0.821556,0.735562,0.691429,0.951684,0.828736,0.820169,0.660592,0.805556,0.834783,0.913295,0.847599,0.777448,0.735955,0.959243,,,,,0.846834,10.0,log2,1.0,995.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,38,0.844911,0.015447,3,8.353,ok,0.869649,0.844948,0.716918,0.803002,0.886893,0.855629,0.823068,0.856038,0.902098,0.855629,0.764045,0.777143,0.934114,0.813793,0.823068,0.650862,0.838889,0.807246,0.893642,0.856038,0.754011,0.792135,0.919942,,balanced_subsample,,,0.846834,30.0,0.5,10.0,123.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,39,0.838123,0.016619,3,52.664,ok,0.858851,0.838151,0.700491,0.803002,0.873301,0.852629,0.814855,0.846884,0.893939,0.852629,0.750685,0.782857,0.922401,0.794253,0.814855,0.630928,0.85,0.77971,0.889017,0.846884,0.741935,0.775281,0.918486,,,,,0.846834,5.0,0.5,2.0,987.0,,
bayes,M5,binary,r0f0,0,0,balanced_accuracy,0,0.84115,0.007457,3,267.1191,ok,0.88816,0.8413,0.736842,0.761726,0.920874,0.836645,0.835145,0.851659,0.909091,0.836645,0.762195,0.714286,0.959004,0.845977,0.835145,0.686916,0.816667,0.853623,0.909827,0.851659,0.774566,0.752809,0.950509,,,,,0.84115,7.0,,9.0,658.0,0.0031266912307463765,0.8387400631785948
bayes,M5,binary,r0f0,0,0,balanced_accuracy,1,0.836236,0.018438,3,34.0759,ok,0.864636,0.836229,0.70529,0.787992,0.884466,0.852771,0.810507,0.845428,0.900932,0.852771,0.760563,0.771429,0.934114,0.806897,0.810507,0.636364,0.816667,0.804348,0.886705,0.845428,0.737968,0.775281,0.915575,,,,,0.84115,4.0,,13.0,170.0,0.0173579720185871,0.6571467271687763
bayes,M5,binary,r0f0,0,0,balanced_accuracy,2,0.832172,0.005738,3,42.5144,ok,0.891631,0.832359,0.735156,0.731707,0.93301,0.824556,0.838406,0.833554,0.90676,0.824556,0.75,0.685714,0.963397,0.86092,0.838406,0.704156,0.8,0.876812,0.907514,0.833554,0.759036,0.707865,0.959243,,,,,0.84115,8.0,,20.0,139.0,0.08884909929476544,0.6003115063364057
bayes,M5,binary,r0f0,0,0,balanced_accuracy,3,0.839463,0.003274,3,336.6362,ok,0.894331,0.83962,0.743925,0.746717,0.932524,0.835252,0.843237,0.8399,0.910256,0.835252,0.763077,0.708571,0.961933,0.862069,0.843237,0.708738,0.811111,0.875362,0.910983,0.8399,0.768769,0.719101,0.960699,,,,,0.84115,8.0,,9.0,712.0,0.006770471801765905,0.8711793820564322
bayes,M5,binary,r0f0,0,0,balanced_accuracy,4,0.843029,0.006728,3,161.3528,ok,0.905515,0.843182,0.762367,0.737336,0.949029,0.83393,0.845169,0.849987,0.914918,0.83393,0.769716,0.697143,0.970717,0.878161,0.845169,0.728205,0.788889,0.901449,0.923699,0.849987,0.796296,0.724719,0.975255,,,,,0.843029,7.0,,4.0,499.0,0.09323453822421686,0.634483377656865
bayes,M5,binary,r0f0,0,0,balanced_accuracy,5,0.846453,0.018824,3,57.6165,ok,0.86425,0.846417,0.711948,0.816135,0.876699,0.863255,0.820169,0.855936,0.893939,0.863255,0.757333,0.811429,0.915081,0.809195,0.820169,0.645299,0.838889,0.801449,0.890173,0.855936,0.74934,0.797753,0.914119,,,,,0.846453,2.0,,20.0,532.0,0.01831652669337469,0.6622684228490661
bayes,M5,binary,r0f0,0,0,balanced_accuracy,6,0.837451,0.019558,3,112.241,ok,0.89356,0.837744,0.741573,0.742964,0.932524,0.810128,0.854831,0.847395,0.893939,0.810128,0.72,0.668571,0.951684,0.88046,0.854831,0.737374,0.811111,0.898551,0.906358,0.847395,0.766571,0.747191,0.947598,,,,,0.846453,2.0,,10.0,799.0,0.1963068423025073,0.8415004307375379
bayes,M5,binary,r0f0,0,0,balanced_accuracy,7,0.831537,0.009174,3,34.7282,ok,0.885075,0.831709,0.726103,0.741088,0.92233,0.820824,0.830556,0.843232,0.897436,0.820824,0.733333,0.691429,0.95022,0.851724,0.830556,0.689157,0.794444,0.866667,0.906358,0.843232,0.763848,0.735955,0.950509,,,,,0.846453,4.0,,1.0,108.0,0.16739105210129054,0.9812299682303465
bayes,M5,binary,r0f0,0,0,balanced_accuracy,8,0.82481,0.011177,3,139.6778,ok,0.847667,0.824854,0.679643,0.786116,0.863592,0.835202,0.8093,0.829927,0.87296,0.835202,0.712401,0.771429,0.898975,0.791954,0.8093,0.625259,0.838889,0.77971,0.878613,0.829927,0.716981,0.747191,0.912664,,,,,0.846453,5.0,,10.0,411.0,0.001029330695920902,0.9134905875297951
bayes,M5,binary,r0f0,0,0,balanced_accuracy,9,0.840175,0.009339,3,71.8337,ok,0.902044,0.840303,0.755299,0.73546,0.945146,0.83027,0.83756,0.852694,0.909091,0.83027,0.757764,0.697143,0.963397,0.875862,0.83756,0.720207,0.772222,0.902899,0.921387,0.852694,0.793939,0.735955,0.969432,,,,,0.846453,7.0,,3.0,590.0,0.4824726036609992,0.7278777521108434
bayes,M5,binary,r0f0,0,0,balanced_accuracy,10,0.840299,0.009638,3,81.8471,ok,0.900116,0.84048,0.752627,0.739212,0.941748,0.826681,0.846618,0.847599,0.90676,0.826681,0.751553,0.691429,0.961933,0.88046,0.846618,0.731959,0.788889,0.904348,0.913295,0.847599,0.777448,0.735955,0.959243,,,,,0.846453,4.0,,12.0,265.0,0.3251481174855557,0.967084789366699
bayes,M5,binary,r0f0,0,0,balanced_accuracy,11,0.832464,0.017428,3,67.9124,ok,0.860008,0.832621,0.697752,0.786116,0.879126,0.823255,0.817271,0.856868,0.877622,0.823255,0.709141,0.731429,0.915081,0.804598,0.817271,0.639831,0.838889,0.795652,0.898266,0.856868,0.76087,0.786517,0.92722,,,,,0.846453,5.0,,20.0,322.0,0.0019969665738191053,0.6167418025938507
bayes,M5,binary,r0f0,0,0,balanced_accuracy,12,0.828025,0.010526,3,84.6465,ok,0.893945,0.828252,0.735322,0.716698,0.939806,0.813198,0.836594,0.834282,0.905594,0.813198,0.73955,0.657143,0.969253,0.867816,0.836594,0.710327,0.783333,0.889855,0.908671,0.834282,0.761329,0.707865,0.960699,,,,,0.846453,8.0,,2.0,222.0,0.003510227989577288,0.672044221748975
bayes,M5,binary,r0f0,0,0,balanced_accuracy,13,0.840215,0.011847,3,54.923,ok,0.890089,0.840427,0.738772,0.756098,0.924757,0.823681,0.846135,0.850829,0.898601,0.823681,0.73716,0.697143,0.95022,0.866667,0.846135,0.715686,0.811111,0.881159,0.905202,0.850829,0.767045,0.758427,0.943231,,,,,0.846453,2.0,,3.0,381.0,0.1719408453822738,0.8489809364032059
bayes,M5,binary,r0f0,0,0,balanced_accuracy,14,0.837981,0.013217,3,116.7466,ok,0.902044,0.838217,0.753876,0.729831,0.946602,0.819573,0.85,0.844369,0.905594,0.819573,0.744479,0.674286,0.964861,0.87931,0.85,0.732824,0.8,0.9,0.921387,0.844369,0.78882,0.713483,0.975255,,,,,0.846453,7.0,,20.0,307.0,0.22736326863443018,0.9151375513813644
