method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_class_weight,param_gamma,message,best_so_far,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample
bayes,M3,binary,r0f0,0,0,balanced_accuracy,14,0.670373,0.030676,3,5.3345,ok,0.809101,0.670549,0.483837,0.435272,0.905825,0.645806,0.651691,0.713622,0.825175,0.645806,0.444444,0.342857,0.948755,0.786207,0.651691,0.449704,0.422222,0.881159,0.816185,0.713622,0.547009,0.539326,0.887918,0.01,balanced,0.0001,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,15,0.80036,0.024746,3,3.3538,ok,0.880062,0.800739,0.695397,0.666041,0.935437,0.767413,0.827053,0.806613,0.88345,0.767413,0.666667,0.571429,0.963397,0.868966,0.827053,0.704663,0.755556,0.898551,0.887861,0.806613,0.710448,0.668539,0.944687,1000.0,,0.01562004317172455,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,16,0.71658,0.037365,3,5.5287,ok,0.822985,0.716836,0.554801,0.536585,0.897087,0.685877,0.694686,0.769176,0.844988,0.685877,0.523297,0.417143,0.954612,0.782759,0.694686,0.509091,0.544444,0.844928,0.841618,0.769176,0.626703,0.646067,0.892285,0.01,,0.0011740606930696828,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,17,0.739642,0.027583,3,5.444,ok,0.863093,0.739993,0.614549,0.530957,0.949029,0.700895,0.762923,0.755107,0.851981,0.700895,0.551237,0.445714,0.956076,0.855172,0.762923,0.633721,0.605556,0.92029,0.882081,0.755107,0.653061,0.539326,0.970888,0.01,,0.016124096705880962,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,18,0.7971,0.024349,3,3.282,ok,0.87929,0.797472,0.691626,0.658537,0.936408,0.767413,0.827053,0.796833,0.88345,0.767413,0.666667,0.571429,0.963397,0.868966,0.827053,0.704663,0.755556,0.898551,0.885549,0.796833,0.699088,0.646067,0.947598,83.31272358603177,,0.01460569876146315,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,19,0.801296,0.025017,3,3.2747,ok,0.880447,0.801677,0.696673,0.667917,0.935437,0.767413,0.827053,0.809422,0.88345,0.767413,0.666667,0.571429,0.963397,0.868966,0.827053,0.704663,0.755556,0.898551,0.889017,0.809422,0.714286,0.674157,0.944687,1000.0,balanced,0.01608679458427887,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,20,0.78779,0.014772,3,4.6072,ok,0.866564,0.788072,0.668582,0.654784,0.921359,0.76727,0.801449,0.794649,0.876457,0.76727,0.658065,0.582857,0.951684,0.841379,0.801449,0.656716,0.733333,0.869565,0.882081,0.794649,0.692771,0.646067,0.943231,4.402822353842876,balanced,0.03270376549802307,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,21,0.802798,0.01414,3,2.9853,ok,0.880447,0.803068,0.697856,0.67167,0.934466,0.783823,0.817754,0.806818,0.889277,0.783823,0.690554,0.605714,0.961933,0.857471,0.817754,0.685279,0.75,0.885507,0.894798,0.806818,0.72,0.657303,0.956332,1.1898409495926598,balanced,0.012899842912327736,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,22,0.500952,0.001347,3,5.4926,ok,0.794832,0.500938,0.003745,0.001876,1.0,0.502857,0.5,0.5,0.797203,0.502857,0.011364,0.005714,1.0,0.793103,0.5,0.0,0.0,1.0,0.79422,0.5,0.0,0.0,1.0,0.01,balanced,0.5466583465242435,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,23,0.754274,0.028799,3,1.9081,ok,0.879676,0.754602,0.649438,0.542214,0.96699,0.72968,0.794686,0.738457,0.874126,0.72968,0.611511,0.485714,0.973646,0.882759,0.794686,0.694611,0.644444,0.944928,0.882081,0.738457,0.633094,0.494382,0.982533,1000.0,balanced,0.003891717607923115,,0.804118,,,,,,
