ranker,k,outer_fold,inner_fold,n_selected,j,seconds,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1,term_performance,term_features,term_time,normalized_features,normalized_inference_time,families
mutual_info,10,r0f0,0,10,0.22868337384860668,2.9490789999836124,0.8974358974358975,0.8229491738130099,0.6971428571428572,0.9487554904831625,0.7770700636942676,0.7349397590361446,0.6731079414985424,,,122.0,35.0,648.0,53.0,858.0,175.0,683.0,0.8356779720036214,0.11502541959746503,0.014492753623188408,0.09916520062795325,0.07246376811594203,0.9916520062795325,dwt;mfcc;time
mutual_info,20,r0f0,0,20,0.23524285740634074,3.0416390000027604,0.9067599067599068,0.8288056891863627,0.6971428571428572,0.9604685212298683,0.8187919463087249,0.7530864197530864,0.699491503136502,,,122.0,27.0,656.0,53.0,858.0,175.0,683.0,0.8478075776926352,0.10653469561515538,0.028985507246376815,0.09972265454480853,0.14492753623188406,0.9972265454480852,chroma;dwt;frequency;mfcc;time
mutual_info,30,r0f0,0,30,0.2569611339766994,3.432498599984683,0.9020979020979021,0.8152520393223175,0.6685714285714286,0.9619326500732065,0.8181818181818182,0.7358490566037735,0.6817046193447538,,,117.0,26.0,657.0,58.0,858.0,175.0,683.0,0.8378816098469511,0.11348287310713419,0.043478260869565216,0.1,0.21739130434782608,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,40,r0f0,0,40,0.2565156079367724,2.8335354999871925,0.9137529137529138,0.8395733110227985,0.7142857142857143,0.9648609077598829,0.8389261744966443,0.7716049382716049,0.7223982235226721,,,125.0,24.0,659.0,50.0,858.0,175.0,683.0,0.8592220093656875,0.09854459344401875,0.05797101449275363,0.1,0.2898550724637681,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,50,r0f0,0,50,0.2783561731792331,2.653171600017231,0.9090909090909091,0.8238945827232798,0.68,0.9677891654465594,0.8439716312056738,0.7531645569620253,0.7043587628709874,,,119.0,22.0,661.0,56.0,858.0,175.0,683.0,0.8487251356238699,0.10589240506329109,0.07246376811594203,0.1,0.36231884057971014,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,60,r0f0,0,60,0.2918248956646319,2.8045279000070877,0.9090909090909091,0.8281447395942272,0.6914285714285714,0.9648609077598829,0.8344827586206897,0.75625,0.7056608969638976,,,121.0,24.0,659.0,54.0,858.0,175.0,683.0,0.8501880372492836,0.10486837392550147,0.08695652173913043,0.1,0.43478260869565216,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,70,r0f0,0,70,0.30532060358709534,2.899595200025942,0.9090909090909091,0.8323948964651746,0.7028571428571428,0.9619326500732065,0.825503355704698,0.7592592592592593,0.7071270765985588,,,123.0,26.0,657.0,52.0,858.0,175.0,683.0,0.8516123882503193,0.10387132822477652,0.10144927536231885,0.1,0.5072463768115942,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,80,r0f0,0,80,0.3187252951615889,2.850169499986805,0.9102564102564102,0.8331269608868437,0.7028571428571428,0.9633967789165446,0.831081081081081,0.7616099071207431,0.7105736891454703,,,123.0,25.0,658.0,52.0,858.0,175.0,683.0,0.8531667626055977,0.10278326617608163,0.11594202898550726,0.1,0.5797101449275363,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,100,r0f0,0,100,0.34710697749262903,3.2548511999775656,0.9114219114219114,0.8317339468730391,0.6971428571428572,0.9663250366032211,0.8413793103448276,0.7625,0.7133793300885234,,,122.0,23.0,660.0,53.0,858.0,175.0,683.0,0.8540293696275072,0.10217944126074496,0.14492753623188406,0.1,0.7246376811594203,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,120,r0f0,0,120,0.3809556484311646,3.2039787999819964,0.9067599067599068,0.826680610750889,0.6914285714285714,0.9619326500732065,0.8231292517006803,0.7515527950310559,0.6986976184957991,,,121.0,26.0,657.0,54.0,858.0,175.0,683.0,0.8470819929244232,0.10704260495290374,0.17391304347826086,0.1,0.8695652173913043,1.0,chroma;dwt;envelope;frequency;mfcc;time
