selector,outer_fold,threshold,n_selected,seconds,features
rf_threshold_mean,r0f0,0.007246376811594203,33,4.815286399971228,time_iqr;time_energy;time_zcr_mean;time_zcr_std;time_hjorth_complexity;time_duration;freq_centroid_mean;freq_band_power_250_350;freq_band_power_350_400;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_01_std;chroma_01_mean;chroma_12_mean;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD4_std;dwt_cD1_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;env_mean
rf_threshold_mean,r0f1,0.007246376811594203,34,4.652140900027007,time_iqr;time_energy;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_complexity;time_duration;freq_centroid_mean;freq_band_power_250_350;freq_band_power_350_400;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_12_mean;mfcc_01_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD2_std;dwt_cD1_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;env_mean
rf_threshold_mean,r0f2,0.007246376811594203,35,4.794964400003664,time_iqr;time_energy;time_zcr_mean;time_zcr_std;time_hjorth_complexity;time_duration;freq_centroid_mean;freq_flux_mean;freq_band_power_50_100;freq_band_power_250_350;freq_band_power_350_400;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_11_mean;mfcc_01_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD4_std;dwt_cD1_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;env_mean
rf_threshold_mean,r0f3,0.007246376811594201,34,4.758011499943677,time_iqr;time_energy;time_zcr_mean;time_zcr_std;time_hjorth_complexity;time_duration;freq_centroid_mean;freq_rolloff85_mean;freq_band_power_50_100;freq_band_power_250_350;freq_band_power_350_400;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_01_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD4_std;dwt_cD1_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs
rf_threshold_mean,r0f4,0.007246376811594203,34,4.704294299997855,time_iqr;time_energy;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_complexity;time_duration;freq_centroid_mean;freq_rolloff85_mean;freq_flux_std;freq_band_power_250_350;freq_band_power_350_400;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_01_std;mfcc_05_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD1_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;env_mean
rf_threshold_median,r0f0,0.004066249894058819,69,4.638881099992432,time_max;time_range;time_iqr;time_energy;time_peak_to_peak;time_crest_factor;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_complexity;time_autocorr_peak_value;time_autocorr_peak_lag;time_duration;freq_centroid_mean;freq_centroid_std;freq_rolloff85_mean;freq_flux_mean;freq_flux_std;freq_band_power_20_50;freq_band_power_50_100;freq_band_power_100_150;freq_band_power_250_350;freq_band_power_350_400;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_10_mean;mfcc_11_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_04_std;mfcc_05_std;mfcc_06_std;mfcc_07_delta_mean;chroma_01_mean;chroma_02_mean;chroma_03_mean;chroma_07_mean;chroma_12_mean;chroma_07_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD3_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD4_std;dwt_cD2_std;dwt_cD1_std;dwt_cA5_entropy;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;dwt_cD2_mean_abs;dwt_cD1_mean_abs;env_mean;env_std
rf_threshold_median,r0f1,0.004231118779272979,69,4.626247300009709,time_max;time_range;time_median;time_iqr;time_energy;time_peak_to_peak;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_mobility;time_hjorth_complexity;time_autocorr_peak_value;time_autocorr_peak_lag;time_duration;freq_centroid_mean;freq_rolloff85_mean;freq_rolloff95_mean;freq_flux_mean;freq_flux_std;freq_band_power_50_100;freq_band_power_100_150;freq_band_power_150_250;freq_band_power_250_350;freq_band_power_350_400;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_10_mean;mfcc_11_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_05_std;mfcc_06_std;mfcc_07_std;chroma_01_mean;chroma_12_mean;chroma_07_std;chroma_08_std;chroma_11_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD3_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD4_std;dwt_cD3_std;dwt_cD2_std;dwt_cD1_std;dwt_cA5_entropy;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;dwt_cD2_mean_abs;dwt_cD1_mean_abs;env_mean;env_std
rf_threshold_median,r0f2,0.004229880083543315,69,4.677602399955504,time_max;time_range;time_median;time_iqr;time_energy;time_peak_to_peak;time_crest_factor;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_mobility;time_hjorth_complexity;time_autocorr_peak_value;time_autocorr_peak_lag;time_duration;freq_centroid_mean;freq_rolloff85_mean;freq_rolloff95_mean;freq_flux_mean;freq_flux_std;freq_band_power_20_50;freq_band_power_50_100;freq_band_power_100_150;freq_band_power_150_250;freq_band_power_250_350;freq_band_power_350_400;mfcc_01_mean;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_09_mean;mfcc_10_mean;mfcc_11_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_05_std;mfcc_06_std;chroma_01_mean;chroma_02_mean;chroma_12_mean;chroma_05_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD3_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD4_std;dwt_cD2_std;dwt_cD1_std;dwt_cA5_entropy;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;dwt_cD2_mean_abs;dwt_cD1_mean_abs;env_mean;env_std
rf_threshold_median,r0f3,0.0041675602138076355,69,4.5589761000010185,time_max;time_range;time_median;time_iqr;time_energy;time_peak_to_peak;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_mobility;time_hjorth_complexity;time_autocorr_peak_value;time_autocorr_peak_lag;time_duration;freq_centroid_mean;freq_bandwidth_mean;freq_rolloff85_mean;freq_rolloff85_std;freq_rolloff95_mean;freq_flux_mean;freq_flux_std;freq_band_power_20_50;freq_band_power_50_100;freq_band_power_100_150;freq_band_power_250_350;freq_band_power_350_400;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_10_mean;mfcc_11_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_05_std;mfcc_06_std;mfcc_02_delta_mean;chroma_01_mean;chroma_07_mean;chroma_12_mean;chroma_07_std;chroma_08_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD3_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD4_std;dwt_cD3_std;dwt_cD2_std;dwt_cD1_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;dwt_cD2_mean_abs;dwt_cD1_mean_abs;env_mean;env_std
rf_threshold_median,r0f4,0.004216124142238955,69,4.858909800008405,time_max;time_range;time_median;time_iqr;time_energy;time_peak_to_peak;time_crest_factor;time_zcr_mean;time_zcr_std;time_sample_entropy;time_hjorth_mobility;time_hjorth_complexity;time_autocorr_peak_lag;time_duration;freq_centroid_mean;freq_centroid_std;freq_bandwidth_mean;freq_rolloff85_mean;freq_rolloff85_std;freq_rolloff95_mean;freq_rolloff95_std;freq_flux_mean;freq_flux_std;freq_band_power_50_100;freq_band_power_100_150;freq_band_power_150_250;freq_band_power_250_350;freq_band_power_350_400;mfcc_02_mean;mfcc_03_mean;mfcc_04_mean;mfcc_05_mean;mfcc_06_mean;mfcc_07_mean;mfcc_08_mean;mfcc_11_mean;mfcc_12_mean;mfcc_13_mean;mfcc_01_std;mfcc_05_std;mfcc_06_std;mfcc_11_std;chroma_01_mean;chroma_07_mean;chroma_12_mean;chroma_05_std;chroma_07_std;dwt_cA5_energy;dwt_cD5_energy;dwt_cD4_energy;dwt_cD3_energy;dwt_cD2_energy;dwt_cD1_energy;dwt_cA5_std;dwt_cD5_std;dwt_cD4_std;dwt_cD2_std;dwt_cD1_std;dwt_cD3_entropy;dwt_cD2_entropy;dwt_cD1_entropy;dwt_cA5_mean_abs;dwt_cD5_mean_abs;dwt_cD4_mean_abs;dwt_cD3_mean_abs;dwt_cD2_mean_abs;dwt_cD1_mean_abs;env_mean;env_std
