ranker,k,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,j_mean,j_std,seconds_mean,seconds_std,n_evaluations
anova_f,10,0.7977311146574382,0.03642966501659993,0.8158603745987033,0.02662744188442049,0.742637411550236,0.05440567847067214,0.8890833376471704,0.04650956776507702,0.8590581157160347,0.03346488486709164,0.6867067254693914,0.050163974543426,0.25468042269227986,0.025457681376391133,2.1114656666565375,0.2902550802805489,15
anova_f,20,0.8066549672826627,0.03516236438299497,0.8181119591910905,0.02852506927810323,0.7329694813487916,0.05081315596641469,0.9032544370333893,0.03703060908325331,0.8683293470204032,0.029394947771269258,0.6976475638832829,0.050942054054902985,0.2638325529078522,0.024586493616294478,2.2127318533331466,0.26626460416030917,15
anova_f,30,0.8117376224621525,0.035726776825747486,0.8231124448431013,0.031285449666253996,0.7401586772319048,0.0565929294068328,0.906066212454298,0.03597123463450498,0.872031669124938,0.029312077238787947,0.7053793365691265,0.052265593684854415,0.2749756691932135,0.02508306392711816,2.403264333334907,0.28445479582003924,15
anova_f,40,0.815267820902206,0.03588535400754086,0.8239702551016942,0.031361099707437855,0.7367254216860958,0.06107874166267324,0.9112150885172924,0.037224349025777946,0.8754254758487512,0.02902077132790106,0.7100480705074946,0.053059876722431856,0.2872835398612094,0.025119747805278595,2.540793333330657,0.23829682795877474,15
anova_f,50,0.8266097506309866,0.029839419100538042,0.8304399798283312,0.026628047002600977,0.7379210180810336,0.057520877833476106,0.922958941575629,0.03325899863426269,0.8849966067911083,0.024157600250042436,0.7261576330128746,0.04430697120998395,0.29383694267425137,0.020887593370376604,2.749662693333812,0.37974473453312907,15
anova_f,60,0.8267237196066511,0.0325661237006002,0.8289413769717169,0.02836686436357016,0.7329841204614548,0.05723617134859478,0.9248986334819791,0.03356304204982677,0.8855297782356765,0.02566115085275013,0.7259325382101199,0.048777845420531346,0.3082499180144747,0.022796286590420125,2.7614503266755492,0.30346357633805554,15
anova_f,70,0.8264484855369897,0.03131886882170505,0.8280596261322083,0.02915592944548371,0.730342580339287,0.06279880510446097,0.9257766719251295,0.03387420828219006,0.8856884683500283,0.024859840958270204,0.725224457793494,0.04699257569136097,0.32293533548642606,0.021923208175193526,2.8974733200040648,0.3262296777313857,15
anova_f,80,0.8308465625069051,0.03260232445833726,0.8329377825420264,0.031519713583961294,0.738648795010864,0.06455056564767382,0.9272267700731888,0.03162004997607504,0.8885407897342099,0.024809728971001546,0.7322024634554084,0.049670277753919585,0.3343494352306736,0.02282162712083608,2.9851737533230334,0.3661644536549259,15
anova_f,100,0.8312032815096345,0.03179034861645029,0.8324294516615872,0.030926947788538273,0.736369189393986,0.06478750975854305,0.9284897139291886,0.03193134932308387,0.8890807308333628,0.02443755413043569,0.7325170347991635,0.048334540977228446,0.3630852391751399,0.02225324403151521,3.315454660006799,0.38980116134874737,15
anova_f,120,0.8304384870261979,0.03155243705046007,0.8310277172152134,0.030965487773938535,0.7329834702442218,0.06297200449139574,0.929071964186205,0.02971908233889121,0.8888492486850377,0.023732006329351872,0.7310487533840235,0.04832903732825425,0.39260610255992234,0.022086705935322044,3.470363379991613,0.4549991099052021,15
anova_f,138,0.8312962021524544,0.033086556290640064,0.8306382767628931,0.031703237916234375,0.7303653398060604,0.0644146630511849,0.9309112137197257,0.03099586744207553,0.8897684599244285,0.024635784940220964,0.7321132486622293,0.05087579002592974,0.418092658493282,0.02316058940344806,3.5827276666648684,0.41686369365111187,15
gb_importance,10,0.8190839106829236,0.030674916433380595,0.8316974965045196,0.027602472937753798,0.7551083757819519,0.05765400720202537,0.9082866172270874,0.0339524664336885,0.8768717906662028,0.02520021800580048,0.7170088962295804,0.04515032710109048,0.24020785358767452,0.021340998091729214,1.9732878733348722,0.13795335036683373,15
gb_importance,20,0.8323070641442019,0.03155010539140308,0.8400983615750435,0.027955261298809247,0.7597694878341914,0.05389479350130849,0.9204272353158955,0.031641574749496276,0.887463945168488,0.02509931339025927,0.736260928463105,0.046814526914814615,0.2460321544348328,0.022118101194581196,2.1346405666631956,0.17994410001240427,15
