model_id,model_name,n_folds,macro_f1_mean,macro_f1_sd,macro_f1_record_ci,balanced_accuracy_mean,balanced_accuracy_record_ci,recall_normal,recall_murmur,recall_extrastole,accuracy_mean,n_classes_predicted,degenerate
M1,Logistic Regression,5,0.4704075427892693,0.0295306033442093,"[0.4239, 0.5155]",0.4887889863547757,"[0.4314, 0.5486]",0.60625,0.5578947368421052,0.3022222222222222,0.5661056568489948,3,False
M5,Gradient Boosting,5,0.4328309700984857,0.0810305843060761,"[0.3887, 0.4715]",0.4283503898635477,"[0.3882, 0.4682]",0.83125,0.4315789473684209,0.0222222222222222,0.668419822346891,3,False
M4,Random Forest,5,0.4204742448052114,0.048911301868404,"[0.3821, 0.4737]",0.4291910331384015,"[0.3810, 0.4753]",0.725,0.4736842105263157,0.0888888888888888,0.6095839177185601,3,False
M6,Soft Voting (equal weights),5,0.4199312329924757,0.0382249209578916,"[0.3811, 0.4617]",0.4224780701754386,"[0.3937, 0.4537]",0.99375,0.2736842105263157,0.0,0.7462131837307152,2,False
M7,Soft Voting (optimized weights),5,0.4187190323855204,0.0422422764996963,"[0.3834, 0.4614]",0.4202302631578947,"[0.3876, 0.4540]",0.934375,0.3263157894736841,0.0,0.7161056568489949,3,False
M3,SVM (RBF kernel),5,0.3896085375923142,0.0454133060294959,"[0.3513, 0.4312]",0.4007675438596491,"[0.3741, 0.4296]",0.98125,0.2210526315789473,0.0,0.7267180925666199,2,False
