metric,level,rule,in_domain_exp,in_domain_mean,in_domain_n_folds,external_value,external_n_folds,delta,relative_drop,n_units
sensitivity,recording,none,EXP-A2,0.8648233891627352,25,0.37818419333768777,1,-0.4866391958250474,0.5627035553422987,3163
specificity,recording,none,EXP-A2,0.8287854063424053,25,0.6734068627450981,1,-0.15537854359730718,0.1874774126188148,3163
balanced_accuracy,recording,none,EXP-A2,0.8468043977525701,25,0.525795528041393,1,-0.32100886971117715,0.3790826672170561,3163
roc_auc,recording,none,EXP-A2,0.9212095305753734,25,0.5358802077329953,1,-0.3853293228423781,0.418286296497288,3163
accuracy,recording,none,EXP-A2,0.8362042167620645,25,0.5305090104331331,1,-0.3056952063289313,0.36557482036223043,3163
f1,recording,none,EXP-A2,0.6867062637528286,25,0.43813847900113506,1,-0.24856778475169355,0.3619710462422146,3163
