coefficient,t_0.000,t_0.128,t_0.255,t_0.383,t_0.511,t_0.638,t_0.766,t_0.894,t_1.021,t_1.149,t_1.277,t_1.404,t_1.532,t_1.660,t_1.787,t_1.915,t_2.043,t_2.170,t_2.298,t_2.426,t_2.553,t_2.681,t_2.809,t_2.936,t_3.064,t_3.191,t_3.319,t_3.447,t_3.574,t_3.702,t_3.830,t_3.957,t_4.085,t_4.213,t_4.340,t_4.468,t_4.596,t_4.723,t_4.851,t_4.979,t_5.106,t_5.234,t_5.362,t_5.489,t_5.617,t_5.745,t_5.872
0,-12.84713874018952,-8.406965082047716,-26.81707969901649,16.87530822153665,-50.22679469670577,-57.76435522945061,-54.13455999272772,-49.00613744336822,-38.768615544482486,0.13689514766221905,-18.081682135459687,-3.9746722055053767,-16.767166912690513,-40.146055242174505,-45.40432028958293,-43.27987284129955,-16.47091480719322,-0.6227378437392412,-17.011404324204616,0.6824319543620962,-43.776110905990585,-48.09611808225426,-52.27964166851042,-50.36786806721389,-3.0609991016338416,-22.46094281641908,-17.49900176212877,-6.0319697149412015,-45.11393956370512,-21.165211942122752,-40.53089799636458,-13.646971473081111,-13.743902554131385,-30.33360502299302,14.495290989740992,-45.44429040828084,-52.12512238781498,-51.344211616509625,-51.11099018078072,-56.189384062212426,7.737396103248914,-15.55983229566703,-43.31185659616806,8.409819434104175,-43.306900572555506,-50.457680190606425,-50.93916090559458
1,93.84688447214359,103.7582771886569,76.47081807566259,96.51572844674139,73.0953352913994,60.38954674819058,60.80482786136825,65.63558470625995,84.06017435785748,107.30344887834394,82.99747564248648,73.15177824317567,74.32050681697355,63.78616362423104,64.92454245612365,60.9278409434005,98.45431211366127,96.08328456999809,76.17904118351348,88.36272212169692,69.32010812782184,58.393104107279335,67.43574664039906,68.60523090640068,109.07032236223732,79.56060158502736,71.30725062147681,87.73925823256366,64.01594123943882,80.96155297678663,69.75155964763925,96.78541888835595,107.77568426723963,82.86589135633011,88.60153611226424,75.65605325672132,58.91091475994118,57.289247473066936,56.89342771885475,53.65282450134478,105.72807533211247,86.09706574599262,66.04808480614469,89.95351401062055,62.924433077688775,62.732628773730625,62.4011053865364
2,31.9393184363188,17.773800600016827,11.499555502346674,8.499061971618122,8.645581373298008,18.338538972288788,12.021038788462327,9.11489009487266,21.200207960595026,34.43746636429434,13.152951096704907,9.843833787968403,19.353368984419763,7.197778684983593,15.709827489699732,11.787518550764073,27.88579283573217,30.775888104775802,12.584400287570393,14.579877328608937,12.254429423950402,15.772361277405032,11.123679787870705,18.737221588861605,41.228398663303636,4.747380068169851,18.72374017223293,16.056125571668947,11.249432330092374,9.04939793050302,14.265371473080943,24.170720270998697,21.26299961080409,13.382748550338293,3.9101310454627862,22.932212965332532,18.65133528912294,12.244311614234588,14.254708425677727,12.9111492396306,22.845974246211085,20.50118543425075,11.620109587606699,0.8906328292641259,16.08268543463388,15.571820522707096,5.540205316411418
3,16.156425454932062,13.203001379343961,12.995950886539413,8.794218936572708,5.9113517184127105,2.032111595007002,-1.8709314502018317,9.70883017166178,17.80336589701778,21.59827639008444,0.7334440816329251,12.22751243718016,8.955633094878557,3.9430864342876557,-2.11726313621286,8.497838161508945,21.64429518172178,19.00746284457211,1.257224650578773,18.75081639624655,7.452582665083653,5.3864751979460905,8.785772703289734,-1.005638619090482,19.717146929291033,1.6042053333144999,10.886252011524185,14.544974401294077,9.76997754308239,12.001920644809381,8.401150617210401,13.419430553595001,14.527515326027729,1.7609533970584401,9.919135307874498,3.093887847245565,3.0728194216146174,2.4703411344147366,12.969351845808848,10.332752225147814,12.46648204422346,8.945153807603614,5.9335853505994445,10.358633970592125,1.9857786277030518,4.019242379988019,3.1026279635289216
4,11.842059578940475,13.948527414305497,2.0036588150630203,-0.6789666305129826,-4.030984620051957,0.833223117816413,1.1091442863088348,1.945503934062774,12.754995022762998,6.12146326305208,4.85103476401118,14.24251779226952,9.993039952769674,4.882436962293319,6.751492861467565,2.425348727634928,10.535605413848064,12.066501789026198,5.433181090612942,8.752609118543294,5.166395254423728,6.660393643351817,1.2541106365188885,1.8101841332142334,6.852461478199757,6.446011096301852,9.868455352866551,11.246061271975758,6.128455141358027,12.119848205425697,8.279854924258652,16.85738141938478,20.325283824939703,-1.2653153118603302,9.922401009029704,6.861584130328827,-1.1892765954888709,2.3504467044148165,0.3047631208584215,-6.509589327032407,12.14703179646559,4.608260444216363,1.9587218602429775,14.02827100858918,0.5046532326866314,-1.3390061710180996,-8.14412334954828
5,14.632763111923573,5.447649694133089,1.294256192609222,1.5241646771206843,6.082913614103526,0.06691994722441208,4.948536550642423,0.5921814103143845,1.8920220646907575,2.2028198994215407,3.997130646026924,5.626362828533323,11.206583941920012,2.4924030329755458,9.618076707764786,8.298547263377316,11.618816891405537,7.596824528679592,6.3867269506984,7.808746984578729,10.39546339511563,8.940194603885864,5.880924777752487,10.982107006050157,6.491779934840129,16.744125045835382,4.491143229049034,6.01437371159933,9.235869825125206,6.393551954393014,-8.535293268034511,2.354405996049599,6.263723123443867,8.254201549029272,2.917953478833541,5.7766697592375476,12.5649383282477,1.4649067476613729,0.6740273057575836,4.017321582643391,8.769625935449234,7.1671767586764314,1.6687588267636873,9.215157613308993,-3.702595263643171,2.2911090969926438,5.405767772276565
6,-4.2659766534401005,-3.2026076349455193,-3.356984758318416,3.621617943343275,4.658462797758718,1.1058540332179754,4.5449703153984435,-1.1998235883402406,6.872285659569819,1.381539375885419,-0.8004315168757018,3.8332943750468287,1.2893198339586251,-4.67933830344106,1.4172145860244558,0.5535407502244534,0.5668042555561206,-3.6985964140637195,-1.4266757229396463,5.716413145856821,-1.0539484340046972,-2.2678694210394403,-3.189039944276263,-0.10618346552812286,4.602598802412104,4.199236929186315,-6.2818118062600625,0.20057093507462076,0.8287840031263374,1.5606526640659963,3.3852260344009233,0.9230193719392592,-6.399534257703436,-0.3789819628114277,8.003646993224073,-2.124461040062816,1.6693485730874045,7.987893636203692,-0.6367970697627303,-4.374787119767792,0.14762734645114445,-5.18614695083123,0.7949906009087804,10.192371081565081,7.644879606566981,-3.613979575764694,-0.9431095377190005
7,6.93712020746927,3.4873602865639297,-0.7984152723325524,9.349117426129924,3.9071926889004267,2.9701002307639395,0.8605891950795728,-0.8772816096014138,8.308649386026342,5.659899445031963,-4.170939885138047,1.7397193703751364,2.8612698843032796,5.765356927899219,1.9384003168922384,1.186033334153891,6.116217805495008,4.2397382614147565,-0.20370153192002793,8.918212620146642,10.25204165225736,2.5986839618211963,10.91128893695008,1.4878985739351303,6.253133162565838,9.416224643860044,6.760040230398657,5.027766820195904,-4.992766165438221,-0.44357875915115424,0.5898955509824684,5.868056135044879,5.642606642061914,1.7936809094069543,2.586773418827306,6.326352759769877,-6.805550559290253,1.1999064761705083,0.796556541058456,9.856650239327678,10.968308676271345,3.9461485824838505,0.0987976029305827,6.062028105572347,-2.9971155348708765,4.646849591756678,11.32770635851005
8,4.240417526498622,1.9092788912791914,-0.7690765493884403,-4.292345482965436,10.233376163254828,4.738117990575698,2.394194354253992,-1.3842173251568126,7.025739172638158,5.846188042337251,-1.481661862290157,-4.102082831788187,-1.3970122484353227,4.852419758776519,-2.2383261403142622,-5.914315410662205,-0.1528938150159811,6.801318691005859,2.4341598455068,1.7009120482299993,2.763462506017572,1.5376689198627111,-5.871489841491533,-0.10086716370153104,1.0842782272584541,-4.972845092034629,-5.317439753097206,-1.570876468378095,0.6231068535385638,-6.436351291558902,-0.093735695232666,6.57449928620686,1.1447995777354811,0.2732298373904261,-9.72910841939462,3.971230798581284,1.251725834365853,7.437236701960385,-0.15959102620063792,2.9941601322085183,2.558149708350979,2.7836822707963123,0.3138058100332526,-6.875193982812446,-1.5430559917523046,0.8754202456496711,3.028761426096964
9,-0.28867560865057634,-2.4398022083890565,-0.8734160070768753,-5.55424647303183,-9.203445082102647,1.489441795858914,-1.1564551657293491,-6.689393544256104,1.2213287592997955,-1.857940952569215,-1.207380646237068,2.7865310376421704,-6.053719649082021,0.8457209321435017,0.05219422860987177,-9.168486260451338,-4.014837078239519,2.9860766445602036,0.5689033448192982,-3.365304601288969,4.915936736403651,0.12038587806772605,-1.2980988196623398,8.160616477299747,3.1885474725067624,-4.5320685219650825,-0.501434355005496,4.755906802442886,-5.639779843699837,-5.021264648238703,-6.0733872635573904,0.540472321133797,-2.8479882331641377,-3.8677474215762753,-3.033087557998973,-4.722933562036133,-1.0600744379848708,-4.553894894947824,-7.8763050036643385,5.37838028169454,-3.3286259102649027,-0.41856195077579517,-8.447659661866954,-6.255289660364486,3.351580227063917,0.137757394061369,3.5709474280059004
