run,task,model_id,n_bins,bin,bin_low,bin_high,n_predictions,n_correct,n_incorrect,accuracy_in_bin,share_of_predictions,n_folds_pooled,n_classes
EXP-A1,binary,M4,20,14,0.7000000000000001,0.75,1027,814,213,0.7925998052580331,0.06339506172839506,25,2
EXP-A1,binary,M4,20,15,0.75,0.8,924,763,161,0.8257575757575758,0.05703703703703704,25,2
EXP-A1,binary,M4,20,16,0.8,0.8500000000000001,932,811,121,0.8701716738197425,0.05753086419753087,25,2
EXP-A1,binary,M4,20,17,0.8500000000000001,0.9,1315,1249,66,0.9498098859315589,0.08117283950617284,25,2
EXP-A1,binary,M4,20,18,0.9,0.9500000000000001,2527,2466,61,0.9758607043925603,0.15598765432098766,25,2
EXP-A1,binary,M4,20,19,0.9500000000000001,1.0,5497,5494,3,0.9994542477715117,0.339320987654321,25,2
EXP-A1,binary,M5,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A1,binary,M5,20,10,0.5,0.55,508,255,253,0.5019685039370079,0.031358024691358025,25,2
EXP-A1,binary,M5,20,11,0.55,0.6000000000000001,482,298,184,0.6182572614107884,0.029753086419753088,25,2
EXP-A1,binary,M5,20,12,0.6000000000000001,0.65,434,249,185,0.5737327188940092,0.026790123456790122,25,2
EXP-A1,binary,M5,20,13,0.65,0.7000000000000001,482,338,144,0.7012448132780082,0.029753086419753088,25,2
EXP-A1,binary,M5,20,14,0.7000000000000001,0.75,535,376,159,0.702803738317757,0.03302469135802469,25,2
EXP-A1,binary,M5,20,15,0.75,0.8,580,414,166,0.7137931034482758,0.03580246913580247,25,2
EXP-A1,binary,M5,20,16,0.8,0.8500000000000001,693,501,192,0.7229437229437229,0.042777777777777776,25,2
EXP-A1,binary,M5,20,17,0.8500000000000001,0.9,990,788,202,0.795959595959596,0.06111111111111111,25,2
EXP-A1,binary,M5,20,18,0.9,0.9500000000000001,1690,1443,247,0.8538461538461538,0.10432098765432099,25,2
EXP-A1,binary,M5,20,19,0.9500000000000001,1.0,9806,9600,206,0.9789924535998369,0.6053086419753086,25,2
EXP-A1,binary,M6,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A1,binary,M6,20,10,0.5,0.55,685,384,301,0.5605839416058395,0.042283950617283954,25,2
EXP-A1,binary,M6,20,11,0.55,0.6000000000000001,830,578,252,0.6963855421686747,0.05123456790123457,25,2
EXP-A1,binary,M6,20,12,0.6000000000000001,0.65,1037,806,231,0.7772420443587271,0.06401234567901234,25,2
EXP-A1,binary,M6,20,13,0.65,0.7000000000000001,1294,1017,277,0.785935085007728,0.07987654320987654,25,2
EXP-A1,binary,M6,20,14,0.7000000000000001,0.75,1349,1124,225,0.8332097850259451,0.0832716049382716,25,2
EXP-A1,binary,M6,20,15,0.75,0.8,1389,1181,208,0.8502519798416127,0.08574074074074074,25,2
EXP-A1,binary,M6,20,16,0.8,0.8500000000000001,1168,1024,144,0.8767123287671232,0.07209876543209877,25,2
EXP-A1,binary,M6,20,17,0.8500000000000001,0.9,1226,1204,22,0.9820554649265906,0.07567901234567902,25,2
EXP-A1,binary,M6,20,18,0.9,0.9500000000000001,3211,3211,0,1.0,0.19820987654320987,25,2
EXP-A1,binary,M6,20,19,0.9500000000000001,1.0,4011,4011,0,1.0,0.2475925925925926,25,2
EXP-A1,binary,M8,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A1,binary,M8,20,10,0.5,0.55,188,95,93,0.5053191489361702,0.011604938271604939,25,2
EXP-A1,binary,M8,20,11,0.55,0.6000000000000001,213,111,102,0.5211267605633803,0.013148148148148148,25,2
EXP-A1,binary,M8,20,12,0.6000000000000001,0.65,233,137,96,0.5879828326180258,0.014382716049382717,25,2
EXP-A1,binary,M8,20,13,0.65,0.7000000000000001,268,169,99,0.6305970149253731,0.01654320987654321,25,2
EXP-A1,binary,M8,20,14,0.7000000000000001,0.75,290,195,95,0.6724137931034483,0.017901234567901235,25,2
EXP-A1,binary,M8,20,15,0.75,0.8,310,215,95,0.6935483870967742,0.019135802469135803,25,2
EXP-A1,binary,M8,20,16,0.8,0.8500000000000001,375,252,123,0.672,0.023148148148148147,25,2
EXP-A1,binary,M8,20,17,0.8500000000000001,0.9,579,429,150,0.7409326424870466,0.03574074074074074,25,2
EXP-A1,binary,M8,20,18,0.9,0.9500000000000001,953,737,216,0.7733473242392445,0.05882716049382716,25,2
EXP-A1,binary,M8,20,19,0.9500000000000001,1.0,12791,12183,608,0.9524665780627003,0.7895679012345679,25,2
EXP-A2,binary,M1,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A2,binary,M1,20,10,0.5,0.55,592,307,285,0.518581081081081,0.03654320987654321,25,2
EXP-A2,binary,M1,20,11,0.55,0.6000000000000001,620,325,295,0.5241935483870968,0.03827160493827161,25,2
EXP-A2,binary,M1,20,12,0.6000000000000001,0.65,629,375,254,0.5961844197138315,0.03882716049382716,25,2
EXP-A2,binary,M1,20,13,0.65,0.7000000000000001,658,399,259,0.6063829787234043,0.04061728395061728,25,2
EXP-A2,binary,M1,20,14,0.7000000000000001,0.75,716,441,275,0.6159217877094972,0.04419753086419753,25,2
EXP-A2,binary,M1,20,15,0.75,0.8,835,571,264,0.6838323353293413,0.05154320987654321,25,2
EXP-A2,binary,M1,20,16,0.8,0.8500000000000001,959,689,270,0.7184567257559958,0.05919753086419753,25,2
EXP-A2,binary,M1,20,17,0.8500000000000001,0.9,1114,880,234,0.7899461400359067,0.06876543209876543,25,2
EXP-A2,binary,M1,20,18,0.9,0.9500000000000001,1774,1509,265,0.850620067643743,0.10950617283950617,25,2
EXP-A2,binary,M1,20,19,0.9500000000000001,1.0,8303,8050,253,0.9695290858725761,0.5125308641975309,25,2
EXP-A2,binary,M3,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A2,binary,M3,20,10,0.5,0.55,810,461,349,0.5691358024691358,0.05,25,2
EXP-A2,binary,M3,20,11,0.55,0.6000000000000001,782,500,282,0.639386189258312,0.0482716049382716,25,2
EXP-A2,binary,M3,20,12,0.6000000000000001,0.65,835,587,248,0.7029940119760479,0.05154320987654321,25,2
EXP-A2,binary,M3,20,13,0.65,0.7000000000000001,933,685,248,0.7341907824222936,0.05759259259259259,25,2
EXP-A2,binary,M3,20,14,0.7000000000000001,0.75,1276,999,277,0.7829153605015674,0.07876543209876544,25,2
EXP-A2,binary,M3,20,15,0.75,0.8,1504,1242,262,0.8257978723404256,0.09283950617283951,25,2
EXP-A2,binary,M3,20,16,0.8,0.8500000000000001,1380,1250,130,0.9057971014492754,0.08518518518518518,25,2
EXP-A2,binary,M3,20,17,0.8500000000000001,0.9,1652,1526,126,0.923728813559322,0.1019753086419753,25,2
EXP-A2,binary,M3,20,18,0.9,0.9500000000000001,2298,2246,52,0.9773716275021758,0.14185185185185184,25,2
EXP-A2,binary,M3,20,19,0.9500000000000001,1.0,4730,4728,2,0.9995771670190274,0.2919753086419753,25,2
EXP-A2,binary,M4,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,1,0.05,0.1,0,0,0,,0.0,25,2
