method,member,n_folds,mean_weight,std_weight,min_weight,max_weight,range_weight,mean_score
equal,M3,25,0.3333333333333333,5.665583147960492e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
equal,M4,25,0.3333333333333333,5.665583147960492e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
equal,M5,25,0.3333333333333333,5.665583147960492e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
grid,M3,25,0.328,0.027938424357067,0.2,0.35,0.1499999999999999,0.8569111689938919
grid,M4,25,0.34,0.0186338998124982,0.3333333333333333,0.4,0.0666666666666667,0.8569111689938919
grid,M5,25,0.332,0.0230337916018087,0.25,0.4,0.15,0.8569111689938919
slsqp,M3,25,0.3333333333333333,5.665583147960492e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
slsqp,M4,25,0.3333333333333333,5.665583147960492e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
slsqp,M5,25,0.3333333333333333,5.665583147960492e-17,0.3333333333333333,0.3333333333333333,0.0,0.8565503320849244
slsqp_logloss,M3,25,0.128500899817559,0.1048897098798206,0.0,0.4037544253332406,0.4037544253332406,0.8550498330389282
slsqp_logloss,M4,25,0.3297558463153007,0.1139152450577189,0.1713178666292562,0.5063170024249458,0.3349991357956895,0.8550498330389282
slsqp_logloss,M5,25,0.5417432538671403,0.09058178056032,0.3400206278559892,0.6923761934023673,0.3523555655463781,0.8550498330389282
