fold,n_test,macro_f1,balanced_accuracy
0,133,0.6150478796169631,0.6615384615384615
1,134,0.6550514216575923,0.6923076923076923
2,133,0.646218487394958,0.6833333333333333
3,133,0.638169934640523,0.676923076923077
4,132,0.6179271708683474,0.6615384615384615
