exp_id,model_id,task,repeat,fold,n_train,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_Benign,recall_Benign,f1_Benign,support_Benign,precision_CAD,recall_CAD,f1_CAD,support_CAD,precision_MVP,recall_MVP,f1_MVP,support_MVP,precision_Other pathologic,recall_Other pathologic,f1_Other pathologic,support_Other pathologic,precision_Pathologic,recall_Pathologic,f1_Pathologic,support_Pathologic
EXP-G1,M1,diagnosis_multiclass,0,0,532,133,0.706766917293233,0.6098029689608637,0.6171377077029251,0.7058038131640617,0.6265283267457181,0.6098029689608637,133.0,5.0,0.8893470215375876,0.5652173913043478,0.52,0.5416666666666666,25.0,0.9166666666666666,0.9649122807017544,0.9401709401709402,57.0,0.5416666666666666,0.5,0.52,26.0,0.2,0.23076923076923078,0.21428571428571427,13.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
EXP-G1,M1,diagnosis_multiclass,0,1,531,134,0.6492537313432836,0.5664883362251782,0.5736498672937302,0.6537928607780487,0.5880987306616597,0.5664883362251782,134.0,5.0,0.8677968976584813,0.4230769230769231,0.4583333333333333,0.44,24.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0,0.34782608695652173,0.2857142857142857,0.3137254901960784,28.0,0.2222222222222222,0.3076923076923077,0.25806451612903225,13.0,1.0,0.8333333333333334,0.9090909090909091,12.0
EXP-G1,M1,diagnosis_multiclass,0,2,532,133,0.6165413533834586,0.5353242182327639,0.511003375709258,0.6098047856119505,0.5141499743194659,0.5353242182327639,133.0,5.0,0.8682139458811046,0.4166666666666667,0.21739130434782608,0.2857142857142857,23.0,0.8813559322033898,0.896551724137931,0.8888888888888888,58.0,0.4,0.37037037037037035,0.38461538461538464,27.0,0.2727272727272727,0.5,0.35294117647058826,12.0,0.6,0.6923076923076923,0.6428571428571429,13.0
EXP-G1,M1,diagnosis_multiclass,0,3,532,133,0.6090225563909775,0.5539339304706622,0.5491034960193838,0.6252381993405112,0.557078507078507,0.5539339304706622,133.0,5.0,0.8498499199983586,0.2972972972972973,0.4782608695652174,0.36666666666666664,23.0,1.0,0.8448275862068966,0.9158878504672897,58.0,0.2857142857142857,0.2222222222222222,0.25,27.0,0.2857142857142857,0.3076923076923077,0.2962962962962963,13.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
EXP-G1,M1,diagnosis_multiclass,0,4,533,132,0.6666666666666666,0.5878014434078508,0.5802599067316775,0.6645769708125898,0.5774408368835614,0.5878014434078508,132.0,5.0,0.8757934166677364,0.3333333333333333,0.2608695652173913,0.2926829268292683,23.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0,0.4074074074074074,0.4230769230769231,0.41509433962264153,26.0,0.35294117647058826,0.46153846153846156,0.4,13.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
EXP-G1,M3,diagnosis_multiclass,0,0,532,133,0.7443609022556391,0.6290040485829961,0.6237463700263209,0.7157156923220577,0.7813181818181818,0.6290040485829961,133.0,5.0,0.8625502730863701,0.56,0.56,0.56,25.0,0.875,0.9824561403508771,0.9256198347107438,57.0,0.5625,0.6923076923076923,0.6206896551724138,26.0,1.0,0.07692307692307693,0.14285714285714285,13.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
EXP-G1,M3,diagnosis_multiclass,0,1,531,134,0.6791044776119403,0.5464285714285715,0.5360343951784513,0.640944453547637,0.5410583446404342,0.5464285714285715,134.0,5.0,0.8574254440090643,0.45454545454545453,0.625,0.5263157894736842,24.0,0.8507462686567164,1.0,0.9193548387096774,57.0,0.4,0.35714285714285715,0.37735849056603776,28.0,0.0,0.0,0.0,13.0,1.0,0.75,0.8571428571428571,12.0
EXP-G1,M3,diagnosis_multiclass,0,2,532,133,0.6691729323308271,0.5316440070563009,0.5123221267778021,0.6347821723385215,0.4953942270912818,0.5316440070563009,133.0,5.0,0.847059052129653,0.34782608695652173,0.34782608695652173,0.34782608695652173,23.0,0.8636363636363636,0.9827586206896551,0.9193548387096774,58.0,0.41935483870967744,0.48148148148148145,0.4482758620689655,27.0,0.0,0.0,0.0,12.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
EXP-G1,M3,diagnosis_multiclass,0,3,532,133,0.6842105263157895,0.548389694041868,0.5316960375192465,0.6509497319051577,0.5389055389055388,0.548389694041868,133.0,5.0,0.8712711138909575,0.41025641025641024,0.6956521739130435,0.5161290322580645,23.0,0.9206349206349206,1.0,0.9586776859504132,58.0,0.36363636363636365,0.2962962962962963,0.32653061224489793,27.0,0.0,0.0,0.0,13.0,1.0,0.75,0.8571428571428571,12.0
EXP-G1,M3,diagnosis_multiclass,0,4,533,132,0.7121212121212122,0.6023411371237458,0.609784778235134,0.6937315728685973,0.6518207718207718,0.6023411371237458,132.0,5.0,0.8804008686864577,0.45454545454545453,0.43478260869565216,0.4444444444444444,23.0,0.8769230769230769,1.0,0.9344262295081968,57.0,0.48148148148148145,0.5,0.49056603773584906,26.0,0.6,0.23076923076923078,0.3333333333333333,13.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
EXP-G1,M4,diagnosis_multiclass,0,0,532,133,0.7218045112781954,0.6194655870445345,0.6204620534893133,0.700687155478366,0.6947477253928868,0.6194655870445345,133.0,5.0,0.8755567505307807,0.5,0.32,0.3902439024390244,25.0,0.9032258064516129,0.9824561403508771,0.9411764705882353,57.0,0.48717948717948717,0.7307692307692307,0.5846153846153846,26.0,0.75,0.23076923076923078,0.35294117647058826,13.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
EXP-G1,M4,diagnosis_multiclass,0,1,531,134,0.7164179104477612,0.6389194139194139,0.6428016535312586,0.6916028853970898,0.6986335403726709,0.6389194139194139,134.0,5.0,0.909798277236517,0.5,0.4583333333333333,0.4782608695652174,24.0,0.8142857142857143,1.0,0.8976377952755905,57.0,0.5217391304347826,0.42857142857142855,0.47058823529411764,28.0,0.8,0.3076923076923077,0.4444444444444444,13.0,0.8571428571428571,1.0,0.9230769230769231,12.0
