exp_id,model_id,task,cv,n_folds,n_train_mean,n_train_sd,n_train_n,n_test_mean,n_test_sd,n_test_n,n_features_mean,n_features_sd,n_features_n,accuracy_mean,accuracy_sd,accuracy_n,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_n,sensitivity_mean,sensitivity_sd,sensitivity_n,specificity_mean,specificity_sd,specificity_n,precision_mean,precision_sd,precision_n,f1_mean,f1_sd,f1_n,mcc_mean,mcc_sd,mcc_n,roc_auc_mean,roc_auc_sd,roc_auc_n,pr_auc_mean,pr_auc_sd,pr_auc_n,tp_mean,tp_sd,tp_n,fp_mean,fp_sd,fp_n,tn_mean,tn_sd,tn_n,fn_mean,fn_sd,fn_n,support_mean,support_sd,support_n,n_positive_mean,n_positive_sd,n_positive_n,n_negative_mean,n_negative_sd,n_negative_n,brier_mean,brier_sd,brier_n,ece_mean,ece_sd,ece_n,fit_seconds_mean,fit_seconds_sd,fit_seconds_n,predict_seconds_mean,predict_seconds_sd,predict_seconds_n
EXP-A1,M1,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8399528099206428,0.029711112128121765,25,0.8429231859881168,0.026269482333133316,25,0.8479933187885698,0.0396517517395229,25,0.8378530531876638,0.036437864841969474,25,0.5792293573419356,0.05409115421296349,25,0.6867562609818505,0.042513708411701046,25,0.6052821345294546,0.054877973278702516,25,0.9221754145146952,0.01921962671580237,25,0.7394381410081831,0.055854532185452305,25,112.8,5.94418483337567,25,83.52,18.82179587605816,25,431.48,18.51602909193365,25,20.2,5.212165257037297,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.22470480513485033,0.04027640000138679,25,0.06068840028214269,0.023643803384649203,25,0.21600452,0.019988585799400622,25,0.00744276,0.001832095186755681,25
EXP-A1,M3,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8768856610276579,0.025075639105622563,25,0.8000838883745152,0.036461651068808644,25,0.6698449028753386,0.06880737110743863,25,0.9303228738736918,0.027051946775737128,25,0.7201413518360311,0.08072813274911769,25,0.6908738481927146,0.05766357453401893,25,0.6171888183669375,0.07285804610560721,25,0.924078273935299,0.023586273628884234,25,0.7208671133081641,0.08245380982396673,25,89.12,9.497017075552373,25,35.88,13.923361663046752,25,479.12,14.245818099826113,25,43.88,8.941103585874247,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.18305086728410364,0.02551805546534588,25,0.05730727207214447,0.01999498442236406,25,1.0184799599999999,0.0785172122326691,25,0.7251942000000001,0.13078637861477269,25
EXP-A1,M4,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8978274239459105,0.024960761293280575,25,0.8420833578565423,0.032945933529836234,25,0.7475470301606779,0.06326348603349237,25,0.9366196855524065,0.029321936595700617,25,0.7619593895391418,0.08384065977201399,25,0.7510565386260639,0.052708521418613076,25,0.6896725889001196,0.06773071991830748,25,0.9418026774787449,0.020235845484430793,25,0.8055628416009804,0.06812138240329908,25,99.44,8.689457213581678,25,32.64,15.09657797868996,25,482.36,15.296731677060952,25,33.56,8.276875416886899,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.16865204607623752,0.028437357590377726,25,0.06600971978730871,0.02079911002599017,25,4.85360852,0.17702600344726205,25,0.41401308,0.07185031349091897,25
EXP-A1,M5,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8803812904490006,0.029019544425135674,25,0.8498104909051996,0.03014766456720083,25,0.7979991249318708,0.055040451011314086,25,0.9016218568785286,0.03625527933305099,25,0.6857195694175617,0.07768454143506771,25,0.7344011991722188,0.050514416345078285,25,0.663883627757846,0.06563180416769131,25,0.9357444658070614,0.021869777160885933,25,0.7944138767148836,0.058115633166557865,25,106.16,7.851114570556209,25,50.68,18.703208280934053,25,464.32,18.388674050440216,25,26.84,7.168681887209113,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.17437842948036955,0.03808523274368473,25,0.03380721349680265,0.019334922084439744,25,28.14054456,4.894095732403758,25,0.014229359999999998,0.005083622337795495,25
EXP-A1,M6,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8467898757895366,0.03233741698433883,25,0.8587565599146746,0.02545854494291062,25,0.8790705821614023,0.06124182953221715,25,0.8384425376679471,0.04791851275770815,25,0.5933892361431843,0.07062471665285279,25,0.7044382221713745,0.04395562766884186,25,0.6322439501899548,0.05491206369533483,25,0.9395334531543368,0.021954085056345152,25,0.7747624740985141,0.08263956975111719,25,116.92,8.410905619095564,25,83.2,24.657656011875904,25,431.8,24.78406746278746,25,16.08,8.128755542311914,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.1685833557042958,0.024503612324366545,25,0.07726626137827351,0.025298992365170192,25,167.94507280000002,12.436842751128562,25,1.0857450800000001,0.09463200997588855,25
EXP-A1,M8,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8964713031776675,0.022933408028739895,25,0.8442252922074089,0.031085627431688682,25,0.7556270092682991,0.0626458769631817,25,0.9328235751465186,0.028233887853066575,25,0.7523541266220218,0.07870332863922365,25,0.7504310157926309,0.047847925853444606,25,0.6879569533473738,0.061946804405221816,25,0.9410446008725418,0.017966808078424705,25,0.8125284436883298,0.05104019835811405,25,100.52,8.684852714160826,25,34.6,14.53730832490435,25,480.4,14.560219778561038,25,32.48,8.180871999161623,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.16617452090134852,0.03489789945823506,25,0.06055405837450446,0.017257276248466083,25,6.09333764,0.16258861842081693,25,0.02226952,0.0012757291418374565,25
