model_id,kind,x,mean,sd,n_folds
M1,roc,0.0,0.06718,0.062165,25
M1,roc,0.01,0.24967,0.101399,25
M1,roc,0.02,0.358065,0.096887,25
M1,roc,0.03,0.412758,0.086975,25
M1,roc,0.04,0.489473,0.083331,25
M1,roc,0.05,0.54354,0.088965,25
M1,roc,0.06,0.589479,0.088547,25
M1,roc,0.07,0.633975,0.080051,25
M1,roc,0.08,0.669492,0.078881,25
M1,roc,0.09,0.696201,0.082845,25
M1,roc,0.1,0.726273,0.081293,25
M1,roc,0.11,0.750912,0.086698,25
M1,roc,0.12,0.77225,0.080702,25
M1,roc,0.13,0.792302,0.077377,25
M1,roc,0.14,0.811562,0.074997,25
M1,roc,0.15,0.828415,0.071709,25
M1,roc,0.16,0.842585,0.072306,25
M1,roc,0.17,0.862401,0.067999,25
M1,roc,0.18,0.874136,0.064481,25
M1,roc,0.19,0.88708,0.060461,25
M1,roc,0.2,0.89795,0.054831,25
M1,roc,0.21,0.907575,0.054467,25
M1,roc,0.22,0.915383,0.051253,25
M1,roc,0.23,0.922302,0.047318,25
M1,roc,0.24,0.929793,0.048899,25
M1,roc,0.25,0.937921,0.046958,25
M1,roc,0.26,0.946957,0.040136,25
M1,roc,0.27,0.955113,0.034826,25
M1,roc,0.28,0.959046,0.033582,25
M1,roc,0.29,0.961446,0.032212,25
M1,roc,0.3,0.964766,0.029726,25
M1,roc,0.31,0.969577,0.026507,25
M1,roc,0.32,0.97382,0.021653,25
M1,roc,0.33,0.975931,0.01801,25
M1,roc,0.34,0.977134,0.01741,25
M1,roc,0.35,0.980145,0.01428,25
M1,roc,0.36,0.98285,0.013915,25
M1,roc,0.37,0.98406,0.013692,25
M1,roc,0.38,0.984971,0.013086,25
M1,roc,0.39,0.986471,0.01289,25
M1,roc,0.4,0.987674,0.013035,25
M1,roc,0.41,0.988579,0.011313,25
M1,roc,0.42,0.990373,0.009366,25
M1,roc,0.43,0.991269,0.009663,25
M1,roc,0.44,0.992452,0.009052,25
M1,roc,0.45,0.992452,0.009052,25
M1,roc,0.46,0.992755,0.00864,25
M1,roc,0.47,0.993345,0.008869,25
M1,roc,0.48,0.993639,0.008966,25
M1,roc,0.49,0.993639,0.008966,25
M1,roc,0.5,0.99425,0.007988,25
M1,roc,0.51,0.99425,0.007988,25
M1,roc,0.52,0.99425,0.007988,25
M1,roc,0.53,0.99425,0.007988,25
M1,roc,0.54,0.994555,0.008059,25
M1,roc,0.55,0.994861,0.007164,25
M1,roc,0.56,0.994861,0.007164,25
M1,roc,0.57,0.995768,0.006202,25
M1,roc,0.58,0.996071,0.005819,25
M1,roc,0.59,0.996071,0.005819,25
M1,roc,0.6,0.996376,0.005383,25
M1,roc,0.61,0.996668,0.004943,25
M1,roc,0.62,0.996973,0.004902,25
M1,roc,0.63,0.996973,0.004902,25
