model_id,model_name,n_folds,ranked_by,macro_f1_mean,macro_f1_sd,macro_f1_fold_ci,macro_f1_record_ci,weighted_f1_mean,weighted_f1_sd,weighted_f1_fold_ci,weighted_f1_record_ci,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_fold_ci,balanced_accuracy_record_ci,macro_precision_mean,macro_precision_sd,macro_precision_fold_ci,macro_precision_record_ci,macro_recall_mean,macro_recall_sd,macro_recall_fold_ci,macro_recall_record_ci,ovr_auc_macro_mean,ovr_auc_macro_sd,ovr_auc_macro_fold_ci,ovr_auc_macro_record_ci,accuracy_mean,accuracy_sd,accuracy_fold_ci,accuracy_record_ci,n_records,n_classes_declared,n_classes_predicted,predicts_all_classes,missing_classes,degenerate
M1,Logistic Regression,5,macro_f1,0.47040754278926933,0.029530603344209382,"[0.4337, 0.5071]","[0.4239, 0.5155]",0.6029815918606829,0.024497500391874056,"[0.5726, 0.6334]","[0.5579, 0.6456]",0.48878898635477575,0.03034778900958681,"[0.4511, 0.5265]","[0.4314, 0.5486]",0.492727828770591,0.04537615099126425,"[0.4364, 0.5491]","[0.4397, 0.5256]",0.48878898635477575,0.03034778900958681,"[0.4511, 0.5265]","[0.4314, 0.5486]",0.6697672244716263,0.033620452330728884,"[0.6280, 0.7115]",n/a,0.5661056568489948,0.022908735709092267,"[0.5377, 0.5946]","[0.5206, 0.6096]",461,3,3,True,,False
M5,Gradient Boosting,5,macro_f1,0.43283097009848576,0.08103058430607618,"[0.3322, 0.5334]","[0.3887, 0.4715]",0.6434776903541743,0.08170520579843743,"[0.5420, 0.7449]","[0.5984, 0.6919]",0.4283503898635477,0.06859091666373102,"[0.3432, 0.5135]","[0.3882, 0.4682]",0.4623710212357781,0.11435436242976998,"[0.3204, 0.6044]","[0.3961, 0.4939]",0.4283503898635477,0.06859091666373102,"[0.3432, 0.5135]","[0.3882, 0.4682]",0.6523681651390438,0.056201881019655855,"[0.5826, 0.7222]",n/a,0.668419822346891,0.09972485523634998,"[0.5446, 0.7922]","[0.6247, 0.7115]",461,3,3,True,,False
M4,Random Forest,5,macro_f1,0.4204742448052114,0.04891130186840409,"[0.3597, 0.4812]","[0.3821, 0.4737]",0.6077565841224286,0.01589645372889984,"[0.5880, 0.6275]","[0.5679, 0.6586]",0.4291910331384015,0.05093213010861632,"[0.3660, 0.4924]","[0.3810, 0.4753]",0.4189422503414704,0.042557272218530756,"[0.3661, 0.4718]","[0.3830, 0.4746]",0.4291910331384015,0.05093213010861632,"[0.3660, 0.4924]","[0.3810, 0.4753]",0.6540270593384535,0.04578630372697127,"[0.5972, 0.7109]",n/a,0.6095839177185601,0.019214209458170588,"[0.5857, 0.6334]","[0.5662, 0.6551]",461,3,3,True,,False
M6,Soft Voting (equal weights),5,macro_f1,0.41993123299247576,0.03822492095789161,"[0.3725, 0.4674]","[0.3811, 0.4617]",0.6718469263957081,0.026246072980918328,"[0.6393, 0.7044]","[0.6214, 0.7221]",0.4224780701754386,0.02901975432563731,"[0.3864, 0.4585]","[0.3937, 0.4537]",0.5633880151413255,0.03274484333586014,"[0.5227, 0.6040]","[0.5178, 0.5843]",0.4224780701754386,0.02901975432563731,"[0.3864, 0.4585]","[0.3937, 0.4537]",0.6626677375020179,0.03512751852996748,"[0.6191, 0.7063]",n/a,0.7462131837307152,0.016253180959776226,"[0.7260, 0.7664]","[0.7072, 0.7831]",461,3,2,False,2,False
M7,Soft Voting (optimized weights),5,macro_f1,0.41871903238552044,0.042242276499696384,"[0.3663, 0.4712]","[0.3834, 0.4614]",0.6593391480715944,0.04579340312848335,"[0.6025, 0.7162]","[0.6152, 0.7122]",0.4202302631578947,0.032529496434364195,"[0.3798, 0.4606]","[0.3876, 0.4540]",0.5265360310955132,0.07681206756952234,"[0.4312, 0.6219]","[0.4386, 0.5288]",0.4202302631578947,0.032529496434364195,"[0.3798, 0.4606]","[0.3876, 0.4540]",0.6553728944791788,0.039342535623024276,"[0.6065, 0.7042]",n/a,0.7161056568489949,0.07317618513428581,"[0.6252, 0.8070]","[0.6746, 0.7570]",461,3,3,True,,False
M3,SVM (RBF kernel),5,macro_f1,0.38960853759231423,0.04541330602949591,"[0.3332, 0.4460]","[0.3513, 0.4312]",0.6474172538425457,0.03361731848624848,"[0.6057, 0.6892]","[0.5975, 0.6978]",0.4007675438596491,0.03300192696440789,"[0.3598, 0.4417]","[0.3741, 0.4296]",0.5023573808140893,0.05494750401890466,"[0.4341, 0.5706]","[0.4456, 0.5517]",0.4007675438596491,0.03300192696440789,"[0.3598, 0.4417]","[0.3741, 0.4296]",0.6456956069365726,0.03456978745286422,"[0.6028, 0.6886]",n/a,0.7267180925666199,0.022943711216864306,"[0.6982, 0.7552]","[0.6855, 0.7636]",461,3,2,False,2,False
