model_id,model_name,n_paired_folds,macro_f1_tuned,macro_f1_defaults,macro_f1_delta,macro_f1_tuned_wins,balanced_accuracy_tuned,balanced_accuracy_defaults,balanced_accuracy_delta,balanced_accuracy_tuned_wins
M5,Gradient Boosting,10,0.6158550205758606,0.5903961161773192,0.025458904398541336,8,0.6259926470588235,0.6009150326797386,0.025077614379084966,8
M4,Random Forest,10,0.6263469691986043,0.6313785130495969,-0.005031543850992459,5,0.6639440359477125,0.6481985294117647,0.015745506535947675,7
M7,Soft Voting (optimized weights),10,0.6017954879917007,0.6143434614198163,-0.012547973428115634,4,0.6197426470588236,0.6348018790849672,-0.015059232026143742,4
M3,SVM (RBF kernel),10,0.5586488141800161,0.5890371806534108,-0.030388366473394636,3,0.5973386437908496,0.6197324346405229,-0.02239379084967321,6
M1,Logistic Regression,10,0.6194446081250057,0.6533016375734051,-0.03385702944839949,2,0.6282720588235294,0.6576919934640523,-0.029419934640522883,4
M6,Soft Voting (equal weights),10,0.5887179028047618,0.6242959309111095,-0.035578028106347845,2,0.6116891339869281,0.6390482026143791,-0.027359068627450956,2
