model_id,model_name,n_folds,macro_f1_mean,macro_f1_sd,macro_f1_record_ci,balanced_accuracy_mean,balanced_accuracy_record_ci,recall_normal,recall_murmur,recall_extrahls,recall_artifact,accuracy_mean,n_classes_predicted,degenerate
M4,Random Forest,10,0.6263469691986043,0.0300223030261936,"[0.5529, 0.7026]",0.6639440359477125,"[0.5880, 0.7328]",0.2454166666666666,0.776470588235294,0.6888888888888889,0.945,0.6838709677419356,4,False
M1,Logistic Regression,10,0.6194446081250057,0.037526512799328,"[0.5387, 0.6960]",0.6282720588235294,"[0.5440, 0.7074]",0.3875,0.7705882352941176,0.48,0.875,0.6629032258064516,4,False
M5,Gradient Boosting,10,0.6158550205758606,0.0553675255734177,"[0.5364, 0.6934]",0.6259926470588235,"[0.5454, 0.7043]",0.3608333333333334,0.7764705882352941,0.4366666666666666,0.93,0.6693548387096775,4,False
M7,Soft Voting (optimized weights),10,0.6017954879917007,0.0432986952669864,"[0.5294, 0.6834]",0.6197426470588236,"[0.5415, 0.6937]",0.3941666666666666,0.7764705882352941,0.3533333333333334,0.9549999999999998,0.6725806451612903,4,False
M6,Soft Voting (equal weights),10,0.5887179028047618,0.0328689490943371,"[0.5234, 0.6808]",0.6116891339869281,"[0.5341, 0.6859]",0.40875,0.7941176470588235,0.2888888888888888,0.9549999999999998,0.6709677419354839,4,False
M3,SVM (RBF kernel),10,0.5586488141800161,0.0458649409031252,"[0.5030, 0.6628]",0.5973386437908496,"[0.5225, 0.6704]",0.3645833333333333,0.8058823529411765,0.2588888888888889,0.96,0.6596774193548387,4,False
