stage,n_measurements,mean_seconds,sd_seconds,median_seconds,min_seconds,max_seconds,share_of_total,warm_only
validate,80,0.0007244875000000001,0.0001426637184102283,0.0006705000000000001,0.000636,0.001293,0.00030920893993738915,True
load_model,80,4e-07,4.929888180106566e-07,0.0,0.0,1e-06,1.7071871629939183e-07,True
preprocess,80,0.024645925000000003,0.012796596327302196,0.022434000000000003,0.009499,0.061801,0.010518801695027724,True
extract,80,2.2609379625000003,0.5659297126227129,2.2018225,1.404319,3.644767,0.9649610664764064,True
predict,80,0.056459075000000004,0.0018131302101230232,0.05623,0.054009,0.064454,0.024096552018627718,True
unattributed,80,0.0002675749999999612,6.79487474386417e-05,0.00024099999999985,0.0002189999999999,0.0005990000000002,0.00011420015128450788,True
total,80,2.343035425,0.5672447455168719,2.2980615,1.472367,3.722066,1.0,True
