run,task,arm,model_id,fold_label,repeat,fold,n_train,n_test,n_features,fit_seconds,predict_seconds,params
EXP-A1,binary,config defaults,M4,r1f3,1,3,2589,651,138,4.624193,0.501664,{}
EXP-A1,binary,config defaults,M4,r1f4,1,4,2597,643,138,4.690661,0.489749,{}
EXP-A1,binary,config defaults,M4,r2f0,2,0,2596,644,138,4.751524,0.544745,{}
EXP-A1,binary,config defaults,M4,r2f1,2,1,2589,651,138,4.578461,0.419738,{}
EXP-A1,binary,config defaults,M4,r2f2,2,2,2585,655,138,4.674534,0.379774,{}
EXP-A1,binary,config defaults,M4,r2f3,2,3,2597,643,138,5.019587,0.389413,{}
EXP-A1,binary,config defaults,M4,r2f4,2,4,2593,647,138,5.006403,0.387462,{}
EXP-A1,binary,config defaults,M4,r3f0,3,0,2596,644,138,4.870909,0.365915,{}
EXP-A1,binary,config defaults,M4,r3f1,3,1,2593,647,138,5.018706,0.399314,{}
EXP-A1,binary,config defaults,M4,r3f2,3,2,2585,655,138,4.753842,0.353789,{}
EXP-A1,binary,config defaults,M4,r3f3,3,3,2589,651,138,4.793562,0.380551,{}
EXP-A1,binary,config defaults,M4,r3f4,3,4,2597,643,138,4.931817,0.379375,{}
EXP-A1,binary,config defaults,M4,r4f0,4,0,2585,655,138,4.793684,0.495858,{}
EXP-A1,binary,config defaults,M4,r4f1,4,1,2596,644,138,5.303754,0.499398,{}
EXP-A1,binary,config defaults,M4,r4f2,4,2,2593,647,138,4.589466,0.503471,{}
EXP-A1,binary,config defaults,M4,r4f3,4,3,2589,651,138,4.502188,0.452589,{}
EXP-A1,binary,config defaults,M4,r4f4,4,4,2597,643,138,4.717058,0.430859,{}
EXP-A1,binary,config defaults,M5,r0f0,0,0,2593,647,138,25.760254,0.014985,{}
EXP-A1,binary,config defaults,M5,r0f1,0,1,2589,651,138,27.08149,0.014681,{}
EXP-A1,binary,config defaults,M5,r0f2,0,2,2596,644,138,28.009224,0.014212,{}
EXP-A1,binary,config defaults,M5,r0f3,0,3,2585,655,138,28.093938,0.014716,{}
