record_uid,duration_sec,duration_band,repeat,task,model_id,is_warm,validate_seconds,load_model_seconds,preprocess_seconds,extract_seconds,predict_seconds,total_seconds,unattributed_seconds
D1_training-e_e01691,14.33,medium,1,binary,M1,True,0.000656,0.0,0.019556,2.934705,0.05688,3.012086,0.0002889999999999837
D1_training-e_e01691,14.33,medium,2,binary,M1,True,0.000658,1e-06,0.017905,2.916856,0.056406,2.992046,0.000220000000000109
D1_training-e_e01691,14.33,medium,3,binary,M1,True,0.000684,0.0,0.015705,2.927305,0.05635,3.000327,0.00028299999999958914
D1_training-e_e01691,14.33,medium,4,binary,M1,True,0.000689,0.0,0.015664,2.884007,0.054929,2.95551,0.00022099999999980469
D1_training-e_e01619,23.843,long,0,binary,M1,False,0.010559,0.0,0.025593,3.559768,0.063283,3.659433,0.00022999999999973042
D1_training-e_e01619,23.843,long,1,binary,M1,True,0.00067,1e-06,0.022723,3.124361,0.054009,3.202046,0.00028199999999989345
D1_training-e_e01619,23.843,long,2,binary,M1,True,0.000667,0.0,0.023181,3.419671,0.054903,3.498714,0.00029199999999995896
D1_training-e_e01619,23.843,long,3,binary,M1,True,0.000663,0.0,0.027085,3.222374,0.055182,3.305585,0.00028100000000064185
D1_training-e_e01619,23.843,long,4,binary,M1,True,0.000648,0.0,0.023835,3.154434,0.05727,3.236664,0.0004770000000000607
D1_training-e_e00438,23.575,long,0,binary,M1,False,0.008533,0.0,0.023803,2.472795,0.058017,2.563394,0.0002460000000001905
D1_training-e_e00438,23.575,long,1,binary,M1,True,0.001161,1e-06,0.022737,2.137496,0.059268,2.220884,0.00022099999999980469
D1_training-e_e00438,23.575,long,2,binary,M1,True,0.00065,1e-06,0.022145,2.16408,0.054954,2.242055,0.0002250000000003638
D1_training-e_e00438,23.575,long,3,binary,M1,True,0.000664,0.0,0.022918,2.145925,0.056814,2.226823,0.0005019999999995584
D1_training-e_e00438,23.575,long,4,binary,M1,True,0.000653,0.0,0.02485,2.145903,0.064454,2.236142,0.00028199999999989345
D1_training-e_e00338,57.733,long,0,binary,M1,False,0.009848,1e-06,0.061256,2.42393,0.054028,2.54929,0.00022699999999975518
D1_training-e_e00338,57.733,long,1,binary,M1,True,0.000819,0.0,0.054668,2.148308,0.057018,2.261048,0.0002350000000004293
D1_training-e_e00338,57.733,long,2,binary,M1,True,0.000722,1e-06,0.058235,2.34227,0.054366,2.455838,0.00024399999999991095
D1_training-e_e00338,57.733,long,3,binary,M1,True,0.001293,1e-06,0.061801,2.207316,0.055716,2.326351,0.00022399999999977993
D1_training-e_e00338,57.733,long,4,binary,M1,True,0.00066,1e-06,0.05717,2.193099,0.05676,2.307921,0.0002309999999994261
D1_training-e_e01202,47.008,long,0,binary,M1,False,0.041931,1e-06,0.046896,2.035855,0.058765,2.183967,0.0005189999999997141
D1_training-e_e01202,47.008,long,1,binary,M1,True,0.000665,0.0,0.040933,1.897339,0.059165,1.998329,0.00022699999999997722
D1_training-e_e01202,47.008,long,2,binary,M1,True,0.000667,0.0,0.044895,1.856567,0.055043,1.957408,0.00023599999999990295
D1_training-e_e01202,47.008,long,3,binary,M1,True,0.000673,0.0,0.044441,1.84967,0.054291,1.949301,0.00022599999999983744
D1_training-e_e01202,47.008,long,4,binary,M1,True,0.000661,1e-06,0.048429,1.878474,0.055138,1.982934,0.00023100000000009224
D1_training-e_e01770,42.239,long,0,binary,M1,False,0.010358,1e-06,0.041207,2.37337,0.057064,2.482225,0.0002250000000003638
D1_training-e_e01770,42.239,long,1,binary,M1,True,0.000661,1e-06,0.040075,2.137397,0.055258,2.233627,0.00023499999999998522
D1_training-e_e01770,42.239,long,2,binary,M1,True,0.00072,0.0,0.042979,2.134871,0.056427,2.23523,0.00023300000000014975
D1_training-e_e01770,42.239,long,3,binary,M1,True,0.000739,1e-06,0.038505,2.137512,0.057915,2.234912,0.00023999999999979593
D1_training-e_e01770,42.239,long,4,binary,M1,True,0.000679,1e-06,0.043249,2.227486,0.054681,2.326328,0.00023200000000045407
D1_training-a_a0321,30.6505,long,0,binary,M1,False,0.010596,1e-06,0.029879,2.500061,0.056422,2.597184,0.0002249999999999197
D1_training-a_a0321,30.6505,long,1,binary,M1,True,0.000639,1e-06,0.033006,2.264792,0.05596,2.354619,0.00022100000000024878
D1_training-a_a0321,30.6505,long,2,binary,M1,True,0.000681,0.0,0.026359,2.307173,0.05607,2.390533,0.00024999999999986144
D1_training-a_a0321,30.6505,long,3,binary,M1,True,0.000648,0.0,0.030989,2.454475,0.056226,2.54258,0.0002420000000000755
D1_training-a_a0321,30.6505,long,4,binary,M1,True,0.000707,1e-06,0.027837,2.243528,0.054363,2.326661,0.0002250000000003638
D1_training-e_e00589,25.807,long,0,binary,M1,False,0.010181,1e-06,0.025067,2.92542,0.060852,3.021928,0.0004070000000000462
D1_training-e_e00589,25.807,long,1,binary,M1,True,0.000789,1e-06,0.033511,2.659211,0.056941,2.750675,0.00022199999999994446
D1_training-e_e00589,25.807,long,2,binary,M1,True,0.000646,0.0,0.024168,2.767576,0.056083,2.848702,0.00022899999999959064
D1_training-e_e00589,25.807,long,3,binary,M1,True,0.000674,0.0,0.025737,2.694153,0.060266,2.781051,0.00022100000000024878
D1_training-e_e00589,25.807,long,4,binary,M1,True,0.000699,0.0,0.024059,2.645634,0.055056,2.72574,0.00029200000000040305
D1_training-e_e00754,39.047,long,0,binary,M1,False,0.010066,1e-06,0.04044,2.510395,0.054826,2.615964,0.000236000000000125
D1_training-e_e00754,39.047,long,1,binary,M1,True,0.000972,1e-06,0.038233,2.205611,0.057947,2.302997,0.00023299999999970566
D1_training-e_e00754,39.047,long,2,binary,M1,True,0.000685,0.0,0.040975,2.265451,0.059756,2.367093,0.0002260000000000595
D1_training-e_e00754,39.047,long,3,binary,M1,True,0.000788,1e-06,0.041235,2.247805,0.054397,2.344458,0.00023200000000000998
D1_training-e_e00754,39.047,long,4,binary,M1,True,0.001191,1e-06,0.035608,2.264309,0.058223,2.359931,0.0005990000000002382
D1_training-e_e00890,29.832,long,0,binary,M1,False,0.009895,1e-06,0.028904,2.088224,0.054331,2.181639,0.000284000000000173
D1_training-e_e00890,29.832,long,1,binary,M1,True,0.00065,0.0,0.032154,1.896427,0.056234,1.985756,0.0002910000000000412
D1_training-e_e00890,29.832,long,2,binary,M1,True,0.000667,0.0,0.032375,1.992718,0.054137,2.080119,0.00022199999999994446
D1_training-e_e00890,29.832,long,3,binary,M1,True,0.000658,0.0,0.029835,1.939238,0.05532,2.025273,0.00022199999999994446
D1_training-e_e00890,29.832,long,4,binary,M1,True,0.000668,0.0,0.026812,1.923601,0.056499,2.008075,0.0004949999999999122
D1_training-e_e02107,22.875,long,0,binary,M1,False,0.014941,1e-06,0.023665,2.510663,0.065736,2.615532,0.0005260000000002485
D1_training-e_e02107,22.875,long,1,binary,M1,True,0.000901,1e-06,0.030292,2.313526,0.056264,2.401267,0.00028299999999958914
D1_training-e_e02107,22.875,long,2,binary,M1,True,0.000695,1e-06,0.023731,2.269993,0.054337,2.348977,0.000220000000000109
D1_training-e_e02107,22.875,long,3,binary,M1,True,0.000695,0.0,0.027245,2.299462,0.055616,2.383305,0.00028699999999970416
D1_training-e_e02107,22.875,long,4,binary,M1,True,0.000678,1e-06,0.02579,2.487946,0.056964,2.571605,0.0002260000000000595
